env_hash,solver_hash,status,perf,inst_hash
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,14.7849,44ad104c3b0c83b4cfc260583dee2397
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,4.2846,41a8365f60db55b71d949df6954e0db7
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,20.9864,03ba29d5cb38d345357a74a7b5ccd759
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,27.6125,ded23680dfeab2879c05bc0e4de21126
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,3.3506,04935c7718d4ada8516e0d99c46df41b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,172.478,16b9e9e007133b818ec1f0868613d534
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,914.323,c33dc89922f1ddea4e7eeddafe4143b3
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,240.21,fae08ac5b6d7eeb4f56f1cfac6c51703
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,153.731,0e5473ee6c2085b34c798f23fbebc08e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.06,1a418d6c8aad501ecb7b47310a3b80ea
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,2.3135,0bf65687de95c5b3a3b8937b2c174bc4
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,33.4994,c40838cb3ed9babe51dc41185e70a3dd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,102.128,101c1853d834751cb1abda03f4477f9e
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,2.2273,0a6722970ab81da486ca8c79b85f6c59
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,6.2378,c0d927c372e355081aa1f537cc910843
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,231.269,372021735d9e46002b862aa2a038a818
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,0.1453,2324f0e956d4290b49d7cd01e8305be0
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0073,149295422d7a647d48da377e0a4caea2
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,19.732,eec821f866557886a5b0352332943fa2
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,116.178,090eefb9bc472f6478e70baf2c6d2403
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,8.9332,02066c116dbacc40ec5cca2067db26c0
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.089,20af7a90131ea05e1ef53ea3705088c9
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,9.7313,01209700b6b45ca5fda7fbcb17765db1
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,270.759,c9886f58320a360adbc8db9470563bea
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,8.1594,1fdc28d676358b7e66bdf072dbbdba0b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0297,14f630622696acf0317df1ff5e20b1e9
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,95.2399,8fcc57f6c75cb2ac48d19e3038ad3c6c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,64.6553,1e7029fdd34b04119ba191f7c67956a1
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,9.7888,1b86f59ce4c43f19f0ad1238f8c362b4
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,3.0599,28f29fe949422ec88892e18073de065c
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,62.4313,bc7dc7a83b442a2bf4cf8cae3f0e0faa
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.12,fb5d0254bc4b8d258eb84ea1dbcdda13
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,2.6774,1dcf6e6230a551af0cbc5fa0d6be0654
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,113.005,1bb9929010e0c209f1e59dedba54d9ad
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.08,1daf64a049000c839dc207f32f896795
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0454,0bd2c7b1f17c160b40be0ddd2846e1e3
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,116.654,ddcb0cd9b7bca43c3a5189326ae88aab
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,432.548,53799aafcd0c684a2adc79400bd35f82
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,60.1495,7b933d3e6b425772ed19eb0fec52bbf9
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,8.4659,b29cb3449d70126d186e1f6a4fccc419
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,36.6595,20cae5fe475d571da703f89d5da4bb8f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,357.647,5952b9f18b73dabb531c60e3ac85d26f
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,907.126,c2596b3f0d779d532a667962b1e54b42
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,1754.57,23440a591245328b42455fa0b8714ffd
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,19.789,c1b30b4e03c3024ad9d084e29e79aa46
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,151.919,0e2d6a8d344a5011a262e4709f27860b
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,1.7881,028d0cc7af63e9bba5795f20e24db4f6
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,TIMEOUT,5000.01,23c4e178c94c0dff82ea6c87abed7ecc
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,952.479,16c5482d8e658b54e20d59cfd4b1d588
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,UNSAT,3218.2,4a85e090bda23cef9bf2aed55d489ab6
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,28.029,126c4744d487fa4d3fe280ff2105e9ea
597c479a9bc71e9bdc080f1d491b0ac4,ddf89f00900b00844bcbd2f3cb8db25b,SAT,0.0153,11ba9953b9ae8475f05de36bfd6ec21f
